Quote	Attribution
Ideas should only become expensive when they work	Jeff Bezos
Insanity is doing the same thing over & over expecting different results	Unknown (Einstein?)
Customers do not appear in our processes, we appear in their experiences	Chris Potts, recrEAtion (2010)
Tact is the ability to tell someone to go to hell in such a way that they look forward to the trip	Winston Churchill
I have not failed. I've just found 10,000 ways that won't work.	Thomas Edison
If I had asked people what they wanted, they would have said faster horses	Henry Ford
People don't know what they want until they see what they don't want	Peter Saddington
All models are wrong, but some are useful	George E. P. Box
Well done is better than well said	Benjamin Franklin
Never mistake activity for achievement	John Wooden
Don't wait. The time will never be just right.	Napoleon Hill
Our distrust is very expensive	Ralph Emerson
Nobody will believe in you unless you believe in yourself	Liberace
Don't ruin the present with the ruined past	Ellen Gilchrist
Experience is simply the name we give our mistakes	Oscar Wilde
The truest wisdom is a resolute determination	Napoleon Bonaparte
We must become the change we want to see	Mahatma Gandhi
Fortune favours the brave	Virgil
I destroy my enemies when I make them my friends	Abraham Lincoln
A good decision is based on knowledge and not on numbers	Plato
Price is what you pay. Value is what you get.	Warren Buffett
Success is a lousy teacher. It seduces smart people into thinking they can't lose.	Bill Gates
